kind	name	official_domain	seed_urls	no_public_hint	allowed_domains
recruiter	Varrlyn	varrlyn.com	https://varrlyn.com/careers/;https://careers.smartrecruiters.com/Varrlyn/	0	
recruiter	Vroom	vroomsearch.com	https://www.vroomsearch.com/nl/vacatures	0	
recruiter	Xanthic	xanthic.nl	https://vacatures.xanthic1.nl/;https://www.xanthic.nl/	0	xanthic1.nl
recruiter	Yacht Executive	randstadprofessional.nl	https://www.randstadprofessional.nl/vacatures;https://www.randstadprofessional.nl/werken-als-yacht-professional;https://www.yacht.nl/vacatures	0	yacht.nl
recruiter	Zanders	zandersgroup.com	https://careers.zandersgroup.com/	0	
employer	JP Morgan Chase	jpmorgan.com	https://careers.jpmorgan.com/	0	jpmorganchase.com
employer	Standard Chartered	sc.com	https://www.sc.com/en/global-careers/	0	
employer	HSBC	hsbc.com	https://www.hsbc.com/careers	0	
employer	MUFG	mufg.com	https://www.mufg.com/careers/;https://www.mufgemea.com/careers/	0	mufgemea.com
employer	Mizuho	mizuhogroup.com	https://www.mizuhogroup.com/emea/careers;https://careers.mizuhoemea.com/job/?locale=en_GB	0	careers.mizuhoemea.com
employer	McKinsey	mckinsey.com	https://www.mckinsey.com/nl/careers;https://www.mckinsey.com/careers/;https://www.mckinsey.com/careers/search-jobs	0	
employer	BCG	bcg.com	https://careers.bcg.com/global/en/search-results	0	
employer	Bain & Co	bain.com	https://www.bain.com/careers/find-a-role/	0	
employer	ING	ing.com	https://careers.ing.com/	0	
employer	Rabobank	rabobank.nl	https://www.rabobank.nl/over-ons/vacatures;https://rabobank.jobs/nl/vacatures/;https://rabobank.jobs/en/jobs/?country=nl&job_type%5B%5D=professionals	0	rabobank.jobs
employer	ASN Bank	asnbank.nl	https://werkenbij.asnbank.nl/nl/nl/search-results?s=1;https://werkenbij.asnbank.nl/	0	
employer	NN Bank	nn-careers.com	https://www.nn-careers.com/	0	
employer	Triodos Bank	triodos.com	https://www.triodos.com/careers	0	
employer	Barclays	barclays.com	https://search.jobs.barclays/en/search-jobs/?orgIds=13015;https://search.jobs.barclays/	0	search.jobs.barclays
employer	Zurich Insurance	zurich.com	https://www.zurich.com/careers	0	
employer	Deutsche Bank	db.com	https://careers.db.com/	0	
employer	DB Contractors UK	dbcontractors.co.uk	https://www.dbcontractors.co.uk/	1	
employer	American Express	americanexpress.com	https://careers.americanexpress.com/en/sites/CX_1/jobs;https://careers.americanexpress.com/	0	
employer	Visa	visa.com	https://corporate.visa.com/en/jobs/	0	
employer	Mastercard	mastercard.com	https://careers.mastercard.com/us/en	0	
employer	Leaseplan / Ayvens Bank	ayvens.com	https://www.ayvens.com/nl-nl/over-ayvens/vacatures/overzicht/	0	
employer	Google	google.com	https://www.google.com/about/careers/applications/jobs/results/	0	
employer	GFT	gft.com	https://jobs.gft.com/;https://www.gft.com/int/en/careers	0	jobs.gft.com
employer	Meta	metacareers.com	https://www.metacareers.com/	0	
employer	OpenAI	openai.com	https://openai.com/careers/search/	0	
employer	Microsoft	microsoft.com	https://jobs.careers.microsoft.com/global/en/search	0	
employer	Mollie	mollie.com	https://jobs.mollie.com/	0	
employer	N26	n26.com	https://n26.com/en-eu/careers/positions/	0	
employer	Revolut	revolut.com	https://www.revolut.com/careers/	0	
employer	Wise	wise.jobs	https://www.wise.jobs/	0	
employer	BNP Paribas	bnpparibas.nl	https://www.bnpparibas.nl/en/careers/;https://www.bnpparibas.nl/en/jobs/;https://group.bnpparibas/en/careers/all-job-offers/netherlands	0	group.bnpparibas
employer	Zerohash	zero-hash.breezy.hr	https://zero-hash.breezy.hr/	0	
employer	PayPal	paypal.com	https://paypal.eightfold.ai/careers	0	
employer	Payhawk	payhawk.com	https://payhawk.com/careers;https://payhawk.com/nl/vacatures	0	
employer	Stripe	stripe.com	https://stripe.com/jobs/search	0	
employer	Morgan Stanley	morganstanley.com	https://www.morganstanley.com/careers/career-opportunities-search	0	
employer	Worldline	worldline.com	https://jobs.worldline.com/viewalljobs/	0	
employer	Remote.com	remote.com	https://remote.com/openings	0	
employer	Airwallex	airwallex.com	https://careers.airwallex.com/jobs/	0	
employer	Surepay	surepay.eu	https://www.surepay.eu/nl/vacatures/	0	
employer	Van Lanschot	vanlanschotkempen.com	https://careers.vanlanschotkempen.com/nl-nl/vacancies	0	vanlanschotkempen.com
employer	Ripple	ripple.com	https://ripple.com/careers/all-jobs/	0	
employer	Thunes	thunes.com	https://www.thunes.com/careers/	0	
employer	Checkout.com	checkout.com	https://www.checkout.com/careers	0	
employer	Mambu	mambu.com	https://mambu.com/en/careers	0	
employer	Finom	jobs.eu.lever.co	https://jobs.eu.lever.co/pnlfin/	0	
employer	Tide	tide.co	https://www.tide.co/careers/	0	
employer	IBANfirst	ibanfirst.com	https://careers.ibanfirst.com/	0	
employer	EU Remote jobs	euremotejobs.com	https://euremotejobs.com/	0	
employer	Zanders	zandersgroup.com	https://careers.zandersgroup.com/	0
employer	State Street	statestreet.com	https://careers.statestreet.com/global/en	0	
employer	Kroll	kroll.com	https://careers.kroll.com/en;https://careers.kroll.com/en/listing-page	0	
employer	Commerzbank	commerzbank.com	https://jobs.commerzbank.com/;https://www.commerzbank.de/group/careers/job-opportunities/	0	commerzbank.de
employer	Lloyds Banking Group	lloydsbankinggroup.com	https://www.lloydsbankinggroup.com/careers/job-search.html;https://www.lloydsbankinggroup.com/careers.html	0	
employer	Crédit Agricole CIB	ca-cib.com	https://jobs.ca-cib.com/;https://www.ca-cib.com/en/career	0	
employer	Nordea	nordea.com	https://careers.nordea.com/;https://www.nordea.com/en/careers	0	
